Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 29, 24, 0.071884, 0.082174, 0.071884, 0.004427, 256, 0.368585, 0.325898, 224, 128, 64, 0.860889, 33224, 30035, 4176, 6046, 0.671884, 0.965712, 9847, 15755, 329, 580, 0.776194
1, 22, 22, 0.078061, 0.086316, 0.078061, 0.003900, 512, 0.418333, 0.456415, 224, 128, 64, 0.849362, 32630, 29782, 4429, 6640, 0.678020, 0.961865, 9853, 15647, 437, 574, 0.770058, *
2, 13, 13, 0.080443, 0.103549, 0.080443, 0.003443, 512, 0.487909, 0.144331, 224, 128, 64, 0.861311, 32620, 30670, 3541, 6650, 0.714835, 0.962091, 9890, 15616, 468, 537, 0.770058
3, 58, 35, 0.042850, 0.050489, 0.042850, 0.000358, 128, 0.206331, 0.242223, 224, 128, 64, 0.755148, 31918, 23571, 10640, 7352, 0.739379, 0.977896, 10120, 15805, 279, 307, 0.782330, *
4, 25, 24, 0.063583, 0.074421, 0.063583, 0.008726, 512, 0.187318, 0.291916, 224, 128, 64, 0.828241, 30958, 29902, 4309, 8312, 0.678020, 0.970201, 9907, 15814, 270, 520, 0.770058, *
5, 51, 30, 0.067193, 0.075494, 0.067193, 0.004311, 128, 0.344185, 0.263950, 224, 128, 64, 0.838707, 33161, 28468, 5743, 6109, 0.684155, 0.967523, 9907, 15743, 341, 520, 0.782330, *
6, 25, 23, 0.061038, 0.068537, 0.061038, 0.004700, 512, 0.166757, 0.052654, 224, 128, 64, 0.847974, 32498, 29812, 4399, 6772, 0.678297, 0.968617, 9981, 15698, 386, 446, 0.776194, *
7, 86, 52, 0.029009, 0.034276, 0.029009, 0.000292, 128, 0.129493, 0.041067, 224, 128, 64, 0.682993, 29682, 20505, 13706, 9588, 0.715400, 0.986609, 10224, 15932, 152, 203, 0.794898, *
8, 19, 19, 0.073957, 0.078368, 0.073957, 0.002335, 512, 0.221877, 0.454251, 224, 128, 64, 0.823124, 33226, 27258, 6953, 6044, 0.708699, 0.962091, 9906, 15600, 484, 521, 0.776194, *
9, 18, 18, 0.057031, 0.065747, 0.057031, 0.005705, 512, 0.046130, 0.104711, 224, 128, 64, 0.852982, 34100, 28578, 5633, 5170, 0.751831, 0.972464, 9986, 15795, 289, 441, 0.788638, *
10, 78, 45, 0.039950, 0.047185, 0.039950, 0.000360, 128, 0.255310, 0.146762, 224, 128, 64, 0.766144, 31889, 24408, 9803, 7381, 0.739379, 0.980348, 10168, 15822, 262, 259, 0.782503, *
11, 38, 29, 0.075613, 0.087507, 0.075613, 0.003263, 256, 0.472874, 0.375116, 224, 128, 64, 0.862808, 32629, 30771, 3440, 6641, 0.696427, 0.963223, 9846, 15690, 394, 581, 0.776194, *
12, 42, 40, 0.049666, 0.065433, 0.049666, 0.007371, 512, 0.188121, 0.352663, 224, 128, 64, 0.747608, 30035, 24900, 9311, 9235, 0.739379, 0.976613, 10095, 15796, 288, 332, 0.788466, *
