Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, -, -, -, -, -, 0.006956, 64, 0.160376, 0.367107, 224, 128, 64, FAIL
1, -, -, -, -, -, 0.004310, 64, 0.348754, 0.257640, 224, 128, 64, FAIL
2, -, -, -, -, -, 0.007303, 512, 0.072572, 0.236343, 224, 128, 64, FAIL
3, -, -, -, -, -, 0.005397, 32, 0.058649, 0.422212, 224, 128, 64, FAIL
4, -, -, -, -, -, 0.002408, 128, 0.016617, 0.044310, 224, 128, 64, FAIL
5, -, -, -, -, -, 0.007454, 32, 0.476214, 0.140690, 224, 128, 64, FAIL
6, -, -, -, -, -, 0.004033, 64, 0.080781, 0.378592, 224, 128, 64, FAIL
7, -, -, -, -, -, 0.000900, 32, 0.155582, 0.103350, 224, 128, 64, FAIL
8, -, -, -, -, -, 0.007384, 64, 0.032643, 0.261319, 224, 128, 64, FAIL
9, -, -, -, -, -, 0.002174, 256, 0.372315, 0.060451, 224, 128, 64, FAIL
10, -, -, -, -, -, 0.001131, 128, 0.000503, 0.310194, 224, 128, 64, FAIL
11, -, -, -, -, -, 0.003120, 128, 0.135355, 0.049615, 224, 128, 64, FAIL
12, -, -, -, -, -, 0.008077, 512, 0.005863, 0.231039, 224, 128, 64, FAIL
13, -, -, -, -, -, 0.005221, 512, 0.003015, 0.154532, 224, 128, 64, FAIL
14, -, -, -, -, -, 0.005274, 256, 0.192026, 0.111628, 224, 128, 64, FAIL
15, -, -, -, -, -, 0.007009, 256, 0.071629, 0.126271, 224, 128, 64, FAIL
16, -, -, -, -, -, 0.006661, 512, 0.386524, 0.131952, 224, 128, 64, FAIL
17, 33, 13, 0.968800, 0.953363, 0.968800, 0.008125, 128, 0.202404, 0.127487, 224, 128, 64, 0.534424, 39270, 0, 34211, 0, 0.001337, 0.393308, 10427, 0, 16084, 0, 0.001337
18, -, -, -, -, -, 0.009613, 256, 0.170517, 0.305428, 224, 128, 64, FAIL
19, -, -, -, -, -, 0.000216, 128, 0.411328, 0.008747, 224, 128, 64, FAIL
20, -, -, -, -, -, 0.009851, 64, 0.266629, 0.493947, 224, 128, 64, FAIL
21, -, -, -, -, -, 0.009274, 128, 0.252180, 0.484946, 224, 128, 64, FAIL
22, -, -, -, -, -, 0.008716, 64, 0.211488, 0.392184, 224, 128, 64, FAIL
23, -, -, -, -, -, 0.006186, 128, 0.296440, 0.189685, 224, 128, 64, FAIL
24, -, -, -, -, -, 0.008305, 64, 0.127599, 0.328793, 224, 128, 64, FAIL
25, -, -, -, -, -, 0.006016, 64, 0.310860, 0.461513, 224, 128, 64, FAIL
26, -, -, -, -, -, 0.008705, 128, 0.221620, 0.196452, 224, 128, 64, FAIL
27, -, -, -, -, -, 0.007926, 128, 0.113984, 0.347594, 224, 128, 64, FAIL
28, 67, 16, 0.871883, 0.761857, 0.871883, 0.004551, 64, 0.327748, 0.443241, 224, 128, 64, 0.857555, 36614, 26400, 7811, 2656, 0.034389, 0.916073, 9676, 14610, 1474, 751, 0.031280
29, -, -, -, -, -, 0.004363, 32, 0.473538, 0.010268, 224, 128, 64, FAIL
Best model
{'batch_size': 64, 'dropout_rate': 0.3277478831173445, 'dropout_rate_1': 0.4432410471363397, 'lr': 0.004551182736466507, 'lr_1': 1, 'lr_2': 0, 'lr_3': 0, 'layer': 224, 'layer_1': 128, 'layer_2': 64}
