Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 0, 0, 0, 0, 0, 0.004427, 64, 0.422515, 0.305438, 128, 256, 64, FAIL
1, 0, 0, 0, 0, 0, 0.003900, 64, 0.348754, 0.257640, 256, 64, 128, FAIL
2, 0, 0, 0, 0, 0, 0.003443, 512, 0.281191, 0.197497, 128, 64, 256, FAIL
3, 0, 0, 0, 0, 0, 0.000358, 32, 0.058649, 0.422212, 128, 128, 128, FAIL
4, 0, 0, 0, 0, 0, 0.008726, 512, 0.476637, 0.068748, 128, 256, 256, FAIL
5, 0, 0, 0, 0, 0, 0.004311, 32, 0.476214, 0.140690, 256, 256, 256, FAIL
6, 0, 0, 0, 0, 0, 0.004700, 32, 0.114191, 0.271121, 256, 64, 64, FAIL
7, 76, 11, 0.102059, 0.128933, 0.102059, 0.000292, 32, 0.146636, 0.365115, 256, 256, 128, 0.866156, 32165, 31481, 2730, 7105, 0.626180, 0.952548, 9776, 15477, 607, 651, 0.739341
8, 0, 0, 0, 0, 0, 0.002335, 64, 0.393533, 0.262316, 128, 256, 256, FAIL
9, 0, 0, 0, 0, 0, 0.005705, 32, 0.382897, 0.372315, 256, 64, 128, FAIL
10, 0, 0, 0, 0, 0, 0.000360, 64, 0.094454, 0.000503, 64, 256, 256, FAIL
11, 0, 0, 0, 0, 0, 0.003263, 256, 0.108864, 0.159497, 128, 256, 64, FAIL
12, 0, 0, 0, 0, 0, 0.007371, 64, 0.408543, 0.229588, 64, 256, 256, FAIL
13, 0, 0, 0, 0, 0, 0.009717, 512, 0.380201, 0.321564, 256, 128, 64, FAIL
14, 0, 0, 0, 0, 0, 0.009563, 256, 0.192026, 0.111628, 128, 128, 64, FAIL
15, 0, 0, 0, 0, 0, 0.006509, 256, 0.071629, 0.126271, 64, 128, 64, FAIL
16, 0, 0, 0, 0, 0, 0.006346, 512, 0.240367, 0.207741, 64, 128, 128, FAIL
17, 0, 0, 0, 0, 0, 0.002830, 512, 0.269212, 0.380016, 256, 128, 64, FAIL
18, 0, 0, 0, 0, 0, 0.002815, 256, 0.170517, 0.305428, 128, 256, 64, FAIL
19, 0, 0, 0, 0, 0, 0.009472, 128, 0.411328, 0.008747, 128, 64, 64, FAIL
20, 0, 0, 0, 0, 0, 0.001160, 128, 0.006511, 0.495001, 256, 256, 128, FAIL
21, 0, 0, 0, 0, 0, 0.001564, 32, 0.159649, 0.493655, 256, 256, 128, FAIL
22, 0, 0, 0, 0, 0, 0.001698, 64, 0.314299, 0.450016, 128, 256, 128, FAIL
23, 0, 0, 0, 0, 0, 0.005407, 32, 0.021838, 0.350645, 256, 256, 128, FAIL
24, 0, 0, 0, 0, 0, 0.007297, 64, 0.444731, 0.422944, 64, 256, 128, FAIL
25, 0, 0, 0, 0, 0, 0.008157, 128, 0.205926, 0.348937, 256, 256, 64, FAIL
26, 82, 13, 0.089362, 0.092892, 0.089362, 0.000135, 32, 0.321407, 0.299775, 128, 256, 128, 0.885072, 34183, 30853, 3358, 5087, 0.640083, 0.955528, 9903, 15429, 655, 524, 0.751619
27, 0, 0, 0, 0, 0, 0.000791, 32, 0.237685, 0.407230, 256, 256, 128, FAIL
28, 81, 13, 0.083399, 0.093826, 0.083399, 0.000120, 32, 0.325806, 0.301998, 128, 256, 128, 0.885072, 33757, 31279, 2932, 5513, 0.621882, 0.959489, 9921, 15516, 568, 506, 0.751631
29, 0, 0, 0, 0, 0, 0.002106, 32, 0.321918, 0.296980, 128, 256, 128, FAIL
Best model
{'batch_size': 32, 'dropout_rate': 0.3258062758978265, 'dropout_rate_1': 0.30199772613995457, 'layer': 128, 'layer_1': 256, 'layer_2': 128, 'lr': 0.00012031661568090989}
